"","V101","evangelical"
"1",107765791,0
"2",117641390,0
"3",121595610,1
"4",123008393,0
"5",123635854,0
"6",123663126,0
"7",123673775,0
"8",142296629,0
"9",152478839,0
"10",152888394,0
"11",153368476,0
"12",154019808,0
"13",154347537,0
"14",154612072,0
"15",154704931,0
"16",154935362,0
"17",155099634,0
"18",155456989,0
"19",155660464,0
"20",155903508,0
"21",155999479,0
"22",156193482,0
"23",156706793,0
"24",157627222,0
"25",157846896,0
"26",157850391,0
"27",157972482,0
"28",158290103,0
"29",158397220,1
"30",158530308,0
"31",158767342,0
"32",158989548,1
"33",159129408,0
"34",159315478,0
"35",159372069,1
"36",159705040,1
"37",159715994,0
"38",159773496,0
"39",159792342,0
"40",159862401,1
"41",160076215,0
"42",160130299,0
"43",160228809,0
"44",160374867,0
"45",160428962,1
"46",160544165,0
"47",160546393,0
"48",160584463,0
"49",160626281,0
"50",160666873,0
"51",160666877,0
"52",160674732,0
"53",160699595,1
"54",160769446,0
"55",160775749,1
"56",160806510,0
"57",160836577,0
"58",160839823,0
"59",160886927,1
"60",160913357,0
"61",160920653,1
"62",160933812,1
"63",160938845,0
"64",160947747,0
"65",160949591,0
"66",160950091,0
"67",160955604,0
"68",160967026,0
"69",160969172,0
"70",160972800,0
"71",160993975,0
"72",161016050,0
"73",161018972,0
"74",161024062,0
"75",161029094,0
"76",161036481,0
"77",161084408,0
"78",161097524,0
"79",161101840,0
"80",161103335,1
"81",161103342,0
"82",161111096,1
"83",161113641,0
"84",161118844,1
"85",161119203,0
"86",161129137,0
"87",161133421,0
"88",161136451,1
"89",161138486,0
"90",161144552,0
"91",161153859,0
"92",161156148,1
"93",161158710,0
"94",161166631,0
"95",161179289,0
"96",161180603,0
"97",161180607,0
"98",161230692,0
"99",161234230,0
"100",161235850,0
"101",161239301,0
"102",161243503,1
"103",161243674,0
"104",161243776,1
"105",161245398,0
"106",161247150,0
"107",161248550,0
"108",161248868,1
"109",161250555,0
"110",161251748,0
"111",161251912,0
"112",161253625,0
"113",161253769,1
"114",161261390,0
"115",161261399,1
"116",161265135,0
"117",161281498,0
"118",161281530,0
"119",161283326,0
"120",161283647,0
"121",161297472,1
"122",161297687,0
"123",161298922,1
"124",161300697,1
"125",161300789,0
"126",161307379,0
"127",161308142,0
"128",161313709,0
"129",161317074,0
"130",161318286,0
"131",161320026,0
"132",161324142,0
"133",161328093,0
"134",161329296,1
"135",161330858,0
"136",161331279,0
"137",161334598,0
"138",161334753,0
"139",161335177,0
"140",161336280,0
"141",161340096,0
"142",161341357,0
"143",161343488,0
"144",161343742,1
"145",161344572,1
"146",161344968,0
"147",161345158,0
"148",161347574,1
"149",161348053,1
"150",161352035,0
"151",161352096,0
"152",161352111,0
"153",161354462,0
"154",161356220,0
"155",161357984,0
"156",161361247,0
"157",161361609,0
"158",161363998,0
"159",161370693,0
"160",161375691,1
"161",161376015,0
"162",161376654,0
"163",161379705,0
"164",161382096,0
"165",161409948,0
"166",161410591,1
"167",161416480,0
"168",161429042,0
"169",161434016,0
"170",161435052,1
"171",161442287,0
"172",161442978,0
"173",161443578,0
"174",161443768,0
"175",161445505,0
"176",161446152,1
"177",161447450,0
"178",161449334,0
"179",161450331,0
"180",161452998,0
"181",161454814,1
"182",161454873,1
"183",161455247,0
"184",161457018,0
"185",161459596,0
"186",161460227,0
"187",161461684,0
"188",161461796,0
"189",161461936,0
"190",161464607,0
"191",161464866,0
"192",161465653,0
"193",161465972,0
"194",161466569,1
"195",161470555,0
"196",161470597,1
"197",161470912,0
"198",161471162,0
"199",161472963,0
"200",161473276,0
"201",161475058,0
"202",161475404,1
"203",161475450,0
"204",161475628,0
"205",161477615,0
"206",161477818,0
"207",161479814,1
"208",161479898,0
"209",161481815,0
"210",161483198,0
"211",161483636,0
"212",161483874,0
"213",161486294,1
"214",161487371,0
"215",161489569,1
"216",161493795,1
"217",161497575,0
"218",161501038,0
"219",161501240,0
"220",161501385,0
"221",161503569,0
"222",161511531,0
"223",161511720,0
"224",161512305,1
"225",161515331,0
"226",161515345,0
"227",161515767,0
"228",161515775,0
"229",161515843,0
"230",161516025,0
"231",161527283,1
"232",161529577,0
"233",161529934,0
"234",161530768,1
"235",161533823,1
"236",161544138,1
"237",161549878,0
"238",161553075,0
"239",161555105,0
"240",161556189,1
"241",161559788,1
"242",161560335,1
"243",161560543,0
"244",161564406,0
