"","V101","evangelical"
"1",222168628,0
"2",273691199,0
"3",284214415,0
"4",287557695,0
"5",290387662,0
"6",290932100,1
"7",292860642,1
"8",295367942,0
"9",295717127,0
"10",295859014,0
"11",295888620,0
"12",296199019,0
"13",297495398,0
"14",297527424,0
"15",297663931,0
"16",297740816,0
"17",298212031,0
"18",298366800,1
"19",299198520,0
"20",299215351,0
"21",299405159,0
"22",299793268,0
"23",299902613,0
"24",299908201,0
"25",299929287,0
"26",299970279,1
"27",300192534,0
"28",300268069,0
"29",300276713,0
"30",300404327,1
"31",300471960,0
"32",300472143,1
"33",300475391,1
"34",300488631,0
"35",300497686,0
"36",300529401,1
"37",300578507,0
"38",300579464,0
"39",300598929,0
"40",300678759,0
"41",300756130,0
"42",300771894,0
"43",300785191,0
"44",300792887,1
"45",300794462,0
"46",300812646,1
"47",300854334,0
"48",300890176,0
"49",300894516,0
"50",300895096,0
"51",300897428,0
"52",300912672,1
"53",300924908,0
"54",300931090,0
"55",300937070,0
"56",300985440,0
"57",300996404,0
"58",301008043,1
"59",301021702,0
"60",301034555,0
"61",301041731,1
"62",301041752,0
"63",301044953,1
"64",301045806,0
"65",301046432,1
"66",301055438,0
"67",301061580,1
"68",301089549,0
"69",301090115,0
"70",301092237,0
"71",301092877,1
"72",301102547,0
"73",301103395,0
"74",301112096,0
"75",301113111,0
"76",301113362,0
"77",301113419,0
"78",301113967,0
"79",301114401,0
"80",301114636,0
"81",301114710,0
"82",301117572,0
"83",301117815,0
"84",301121236,0
"85",301121655,1
"86",301124525,0
"87",301124709,0
"88",301124791,0
"89",301130433,0
"90",301131047,0
"91",301133359,0
"92",301133627,1
"93",301134058,0
"94",301153989,0
"95",301180245,0
"96",301181732,1
"97",301184882,0
"98",301185042,0
"99",301185187,0
"100",301190366,0
"101",301197289,0
"102",301197457,0
"103",301199037,1
"104",301204493,0
"105",301227338,0
"106",301227666,0
"107",301227687,0
"108",301236412,1
"109",301237143,0
"110",301256200,0
"111",301278981,1
"112",301317462,1
"113",301317593,0
"114",301326200,0
"115",301328552,1
"116",301328555,0
"117",301328578,0
"118",301328590,0
"119",301328674,0
"120",301330430,0
"121",301330810,0
"122",301331772,0
"123",301331809,0
"124",301333954,1
"125",301334756,0
"126",301334843,0
"127",301334844,0
"128",301334888,1
"129",301334907,0
"130",301334947,0
"131",301334993,0
"132",301335010,0
"133",301335030,1
"134",301337505,1
"135",301338496,1
"136",301338665,0
"137",301342485,1
"138",301342561,0
"139",301342610,0
"140",301342640,0
"141",301342659,0
"142",301342781,0
"143",301342828,0
"144",301342872,1
"145",301345917,0
"146",301345921,0
"147",301346902,0
"148",301346912,0
"149",301349844,0
"150",301350535,0
"151",301350591,0
"152",301350605,0
"153",301357245,1
"154",301360063,1
"155",301362850,0
"156",301362874,0
"157",301362947,0
"158",301363343,0
"159",301363356,0
"160",301363366,0
"161",301363410,0
"162",301363421,0
"163",301363450,0
"164",301363495,0
"165",301363503,0
"166",301363508,0
"167",301363521,0
"168",301363527,1
"169",301363539,0
"170",301363554,0
"171",301363567,0
"172",301364957,0
"173",301364962,0
"174",301365071,0
"175",301365091,1
"176",301365306,1
"177",301365354,0
"178",301365525,0
"179",301365529,1
"180",301365633,0
"181",301365635,0
"182",301365704,1
"183",301365715,0
"184",301365811,0
"185",301366181,0
"186",301366201,0
"187",301366204,0
"188",301366230,0
"189",301366233,0
"190",301366245,0
"191",301366259,0
"192",301366268,0
"193",301366271,0
"194",301366279,0
"195",301366390,1
"196",301366536,1
"197",301366598,0
"198",301366645,0
"199",301366648,0
"200",301366653,0
"201",301366658,0
"202",301366673,1
"203",301366680,1
